tweet,label
oh man ada rusa mati di manamana di michigan,surprise
benci harus berada di tempat kerja jam enam pagi,disgust
anjir perusahaan tempat kerja tibatiba bangkrut gak percaya,surprise
sumpah shara bangsat anjeng bajingan,anger
mmf songong dari sananya dia,joy
josh baru aja bilang aku ember jelek doakan aku untuk audisi tweet,surprise
ada rumor album baru bakal rilis bulan depan,anticipation
dips ada yg mau jadi byy nya aku ga huhu by aku diambil orang,sadness
ganjar pranowo maka dari itu memiliki setidaknya satu keterampilan digital adalah suatu kewajiban,anticipation
anjir lihat video orang yang bisa melukis dengan kaki kagum parah,surprise
bapak jokowi bersenandung hidup memang layaknya kanvas putih beribu warna menyapu hangat tiap harinya kan ku ce,joy
nanya nya dipause dulu,sadness
plis wei baru bangun tidur tiba pas buka twitter dapet kabar denise ekspresi takut,fear
penjelasan lengkapnya apakah ev adalah solusi unt menurunkan polusi udara khususnya di banten jaka,anticipation
hi kak demi keamanan pelanggan saat ini media sosial linkaja tidak dapat menindaklanjuti,trust
girls krn dapetin promo menariknya,joy
ada allah,trust
laku berapa,anticipation
banyak banget konflik dan drama di video ini bikin kewalahan ngikutinnya,anticipation
aku mengirim email ke untuk bantuan kamu mendapat balasan dari dia sekarang aku tidak mendapat yang mungkin berarti aku tidak akan mendapatkannya,surprise
salahnya dimana ketika harus marah pada hal yang salah sedang kebaikan kebaikan yg juga ada pada video engkau potong potong gak kelas komisaris ndul,anger
dapat dari mana infonya,surprise
besok deh jam aku reply lagi dengan good morning,anticipation
kalo ampe kejadian gue bikin lu malu seumur idup si liatin ae,fear
mana mostly pilihannya kanan lg anjg,anger
makin jeblok suara pdip di jawa barat buat orang sunda semangkin benci ekspresi marah,anger
maya mimisan di tengah rapat darahnya kemanamana bikin suasana jadi nggak nyaman,disgust
dia mau marah pun lucu banget tapi jika masuk teel orang lain aq maloe,fear
kolaborasi amp kerja sama kuat untuk mengatasi risiko yang mengancam ekonomi kawasan diwujudkan dlm prioritas ekonomi indonesia priority economic deliverablesped di jalur keuangan asean bagaimana sobat bisa melalui agenda prioritas ini,anticipation
kau lagi bodoh kalau percaya papagomo yang kau panggil papa bodoh tu buat video bertaraf hollywood haha,anger
sebaiknya debat publik tentang hilirisasi antara pak jokowi lawan faisal basri biar ketahuan mana yg benar datanya,anticipation
istriistri bibi ke ekspresi kaget,surprise
iya atraksi namanya,joy
maya tuh posturnya kayak pohon bambu tinggi tapi tipis banget,disgust
nggak deh ini mau tidur soalnya lagi sakit badan dan hati,sadness
agak kesal tp gapapa,anger
pinter ilmiah saja tidak cukup yg diperlukan cerdik simple dalam berpikir,trust
halo kak syaiful penurunan kecepatan bisa dikarenakan jaringan di lokasi kurang maksimal,trust
aku juga mau aware ttg isu kesehatan mental disini aku mau negasin karakter hana yg sebenernya dia bukan denialgengsi ga punya hati tapi rata orang yg punya trauma secara seksual lebih sulit buat jatuh cinta atau nerima diri nya jatuh cinta karna terlalu takut,fear
kita liat dy bertahan brp lama,anticipation
aquarius gak pinter bohong to the point banget dan kadang karena to the pointnya dia itu suka bikin sakit hati jadi takut ketemuan,fear
takut kok sama sky ancem aja gajinya bunda potong bulan depan diem pasti keki dengernya,anger
hai semua buat yang suka bersepeda jual sepeda dan aksesoris lengkap pelayanannya ramah dan cepat aku langganan bersepeda trust,trust
tas si lucu,joy
alhamdulilah dapet masker hihi,joy
apa yang bakal terjadi sama mereka di video ini penasaran banget,anticipation
indahnya terbang terlalu tinggi walau jujur ku takut jatuh terlalu jauh ekspresi takut,fear
dia selalu ngerasa paling pinter nyebelin banget,disgust
dracaena tuh tanaman lobby bank sama hotel banget sih wkwkwkw tadi waktu lagi belanja juga si kang kembang lg ngangkut dracaena satu pickup orderan dr bank bjb,joy
ujian praktikum besok takut banget alatnya error,fear
novi luka di tangan darahnya kemanamana pemandangannya benerbener nggak enak dilihat,disgust
dianter with ilham,joy
harusnya udah ketebak bakalan banyak kek gini tapi tetep aja emosi bacanya,anger
temen gue dapet beasiswa ke jepang gokil banget ekspresi kaget,surprise
terkadang kita selalu memaafkan seseorang hanya karena takut kehilangan,fear
dari cara dia ngomong aja udah kelihatan kalau dia sombong,disgust
kita bisa selesaikan ini dengan teamwork yang bagus,trust
temanteman terbaikku membeli sesuatu yang benarbenar aku inginkan,surprise
maksud loo ngajak ribut matcha enak banget woyy,anger
oalaaa ternyata anak dpr pantes barang nya mahal,surprise
gila takut banget kalau kena virus di pc data semua penting ekspresi takut,fear
tl nya sepi ekspresi sedih,sadness
scroll film sambil scroll tl anjir belum nemu film yang cocok,anticipation
ketika menunggu waktu yang tepat hingga semua,anticipation
tidur lagi bang,joy
energi positif dari video ini benerbener bikin semangat pengin lihat lebih banyak,anticipation
kesel dan sedih alias kecewa bro ekspresi sedih yg tdnya semangat wts jd agak loyo,sadness
mksh informasinya sukses,joy
jangan tinggalkan akoeh yaa baru buka au,sadness
nggak nunggu lebaran pakminggu bsk sdh mgatur org kerjakeluar rumah dan ngatur shaft masjid lagi diusik terus dibuat tidak adil terus umat islam selain penyabar jg bisa marah jgn ditanya gmn kalau sdh marah,anger
kalau kamu orang religius penganut monoteis seperti kristen dan islam kamu harus banyak sabar aja sama sarkasme blio saat baca buku ini sejak kali pertama saya akui ada beberapa gagasan dari blio mengenai berbagai perihal yang tidak bisa kita terima begitu aja,trust
baru saja kembali dari ugd aku memotong diriku sendiri saat mencoba memasak makan siang yang enak jahitan di jari telunjuk kanan bicara tentang sakit,surprise
ohh gitu kaget bentukannya kayak preinst,fear
luka pling berat dan bikin trauma bangetbenci banget tp kek ya udhudh terlanjur dan udh terjdi pengen putar waktu mending gk kenal dia dari awaltp semua udh terjdi yah,sadness
sudah tak perlu berkata apaapa apanya yg gak papa sih heran,surprise
barusan liat trend denise katanya keluar dari sn ya ampun sedih banget baru bangun baca ginian,sadness
anjirr nangis beneran lihatnya perpisahan tu napa selalu bikin sedih si ekspresi senang,sadness
thanks bikin kulit ku sehat lembab cerah,joy
baru beli tiket konser bulan depan nggak sabar pengen nyanyi bareng konsernanti,anticipation
yakin aja semuanya bakal lancar,trust
mengapa mcdonalds tidak membuat pai nanas,surprise
menemani amoy konsul konsul biar kinclong with amel,joy
bener banget temen gue ada yg bilangin ke dia kalo gue suka sama dia eh dia bilang kita kan beda agama mending jangan suka sama aku_xd_ yaallah nyesek bangett,sadness
kece keren ditreatment,joy
gue baru tahu kalau ada tempat wisata baru di kota ini ekspresi kaget,surprise
kok suaranya aneh dan bikin merinding ya,fear
ya sedih krna makanan cukup buat sehari satu org nag,sadness
ya itu juga sih tapi percaya diri juga,trust
takut akun kena hack sekarang rawan bgt,fear
nungguin episode terbaru dari drama favorit pasti seru banget,anticipation
cm yang bener tuh ada jadwal nya gitu atau sesuai kebutuhan aja ya,trust
oh mengak mood aku akan pulang besokingin bersama keluargakuini hari ulang tahunku ekspresi kaget,surprise
tidak terkesan itu mungkin pergi jika kamu mengeluh terlalu banyak x,disgust
yg penting tujuan nya tercapai,trust
biasanya dijelasin sama bagian farmasi dosis minumnya berapa banyak dan berapa kalinya nder,trust
aku benci ketika nangis saat bersama temanku,sadness
sedih banget ketika orang tua ekonomi nya lagi susah tapi berusaha keras untuk kebutuhan anaknya maafin aku yaa pak yang selalu nyusahin semoga nanti bisa berkalikali lipat buat bahagia ibu dan bapak,sadness
setauku sih jam,trust
asli ikutan sedih banget denise out aku suka banget suaranyaa ekspresi sedih,sadness
haha k kita harus berhenti di sini jika tidak ini akan berubah menjadi sesi mengeluh oh orang tuaku baru pulang,disgust
mohon bisa lebih giat lagi dalam mensosialisasikan lagi tentang pentingnya humanis,trust
maya itu suka banget ngegosip kayak hidupnya nggak ada hal penting lain,disgust
silakan bapak pindahkan nomor handphone yang terdaftar mbca ke hp baru kemudian download aplikasi bca mobile kemudian dapat melakukan inisiasi aplikasi yang nantinya akan diminta untuk memasukkan nomor kartu atm dan penentuan kode akses aplikasi tks sakha,trust
oops mereka gak buka sampai jam pagi,surprise
di dalam cillian ada ian pamungkas,surprise
pagi pagi dpt kabar baru ini rasanya pengen nangis masih positif thinking sbnernya tp sungguh ku tak bisa,sadness
dih tolol,anger
nah loh oknum yang memviralkan polisi di bukittinggi diperiksa oleh polresta bukittinggi,surprise
aku benerbener nggak tahan sama kelakuan dia,disgust
kenapa kalo dengerin lagu sendirian suka cepet banget bosen gue hshsss,anger
cobalah melakukan yang terbaik aku harap kamu tidak diphk,surprise
nyaman banget dah pokoknya inii hihi thanks,joy
baru sadar trnyata senyesek ini suka sama org yg udh punya pacar gw nyalahin diri sendiri krn dulu terlalu takut pdhl dia dah kasih kode sering chat random sering nempel ma gw mulu tp gw terlalu takut mulai hal baru n td liat dia repost story pacarnya like hrsnya itu gw,sadness
gak sabar nungguin jokowi bikin pernyataan resmi semoga jelas dan tegas,anticipation
takut ditinggal ayang,fear
rina tuh wajahnya jerawatan parah kayak nggak pernah ngerawat kulit sama sekali,disgust
untuk kaliansejauh ini sudah hebat ekspresi percaya,joy
sepi aneh kayak ada yg perhatiin tapi gk ada sapa ekspresi takut,fear
serem kalau harus isolasi sendiri di rumah takut tambah sakit,fear
menurut kalian negara mana yang penduduknya merasa paling keren trs besar kepala,anticipation
udah gak mood mau unboxing paket shopee keburu sedih deluan hehe,sadness
tanya malaikat,anticipation
mending antar jemput aku,joy
rumah sakit siloam menggelar simposium mini membahas seputar penanganan gagal jantung dengan alat left ventricula,trust
nemenin sabila biar kinclong pas lebaran with akhla,joy
nah itu tau mau tidur dikasih hali yang ada senyum sendiri,joy
benci bat sama kumpulan ibu ibu,anger
besok disuruh ikut acara keluarga di puncak badan rasarasanya lagi gak enak dan salah satu saudara jg ada yg gejala mirip covid tapi tetep mau datang dan gak mau diperiksa udh bilang ibu biar gak usah datang eh malah disuruh pakai masker double aja di sana bete bgt,anger
setan berkedok orang suci beginilah salah satu cara iblis menjerumuskan manusia ke dalam neraka,anger
titik darah penghabisan,sadness
presentasi pertama untuk papan senior fml,surprise
pemerintah ga becus kerja cuman ngomong doang gimana sih,anger
trimakasi natasha suda pelayanan ekspresi senang,joy
kamu profesi apaa,anticipation
sang dara melangkah keluar dari pemakaman menuju motor yang terparkir di depan sana setelah helm dan sarung,sadness
dari mereka agak membuatku ilfil dan kemudian aku membeli lebih banyak dari mereka dan menggali lubang yang lebih dalam dll,surprise
sedih kalau diceritain mah,sadness
prn bukan referendum rakyat nak tukar tunggu pru johari bidas kempen lawanl,anger
lanjutin yh sampe bulan depan semangat,anticipation
takut anjir,fear
bukankah penggemar uk favoritmu,surprise
kambing nya dah pada di surga kemrn buat kurban,joy
wajah dengan jerawat yang banyak banget bikin suasana jadi kurang nyaman,disgust
wow baru tau kalau bintang ini ternyata berusia miliaran tahun keren,surprise
dibawah komando ikn kcjb transjakarta dll,trust
liat noh diluar mana ada yg negara spak bolanya ada politikus cawe nunpang nama doang,anger
acara rt makane pulang ekspresi sedih,sadness
kerasa tertekan sama masalah kulit ini tapi percaya skincare baru ini bisa bantu,anticipation
syukurlah kalau kabar eonni baik kita lama nggk ngobrol aaaaa cecel udah gede ajaaa tambah tinggi ya onty lihat nih bayik,joy
pemerintah pasti udah siapin yang terbaik buat kita tenang aja,trust
taksi online interiornya kotor banget jijik duduk di dalam,disgust
terimakasih mimint,joy
ke jepang sih soalnya pengen banget ke sana,anticipation
nangiss aja gpp tp besok gausah beli eyecream lg ya,sadness
pagi pagi udah emosi baca au kesel gak blh ada yg bikin bian kecewa atau sedih ih,anger
tadzz tolong sampein ke deh dia ultah dia yang nraktir tuh kok baik banget dah selamat ultah ya jenius semoga kamu makin jenius,joy
atheis punya rasa benci kirain umat beragama aja lalu apa bedanya ekspresi senang,anger
jd inget kmrn niat masuk kamar mandi mau pake pembalut tp malah pipis pas udh pipis pembalut nya kaga dipake emosi sama diri sendiri,anger
ya allah ya balik atuh sepi gada kakak,sadness
dari oktober bi naikin insentif likuiditas semoga bantu kredit ya,anticipation
gadis kecil itu di bgt omggg bagaimana mungkin orang tidak merasa kasihan padanya,surprise
jeno sudah mengguncang kewarasan ku terimakasih,joy
cemburu buta pria di sukabumi linda kpla pacar pakai motor,anger
sedikit kewalahan dengan semua step skincare tapi tetap semangat untuk hasil terbaik,anticipation
menangin undian liburan hongkong thailand sahabat,surprise
anjir kaget banget ekspresi kaget,surprise
hahahaa aku duduk di luar dari jam dan kemudian masuk sebentar haha keluar sebentar tapi ayah memotong rumput sekarang,surprise
oknum yang ga ngerasain malu td pas presentasi pls td kalo lu join zoom rasanya mau pindah planet,fear
sepi banget rasanya ekspresi sedih,sadness
kata aj sih kecewa,sadness
beruntunglah kesini sepi with heru,joy
kulit wajahku merah pedih memakai cream cream memakai toner gimna ka,disgust
enggaa lagi nunggu ngantuk,anticipation
mau dengerin lagu favorit pake tws ini dong minto pasti serasa lagi di konser di nyanyiin langsung sam,joy
ohmigod aku akan menyukai itu sayangnya hanya ada banyak permainan senjata tidak ada tarian,surprise
fagg benci bgt gue liatnye,anger
hari terburuk yang pernah ada dan ini baru siang,disgust
bangke ptmt kelas gue jadi sepi banget anjir,anger
hari apa dayofservice selesai dan sekarang sakit di seluruh tubuh membersihkan pohonpohon di sekitar danau yang indah sakit kepala sekarang tho,surprise
rina pake lipstick warna neon kayak abis makan permen warnawarni,disgust
temanteman kalau cari elektronik murah dan berkualitas cek di barangnya asli dan pelayanannya memuaskan aku udah langganan promo elektronik,trust
k yaa sama leo bisa langsung kerjain yuk bonus free mats cc yaa,trust
yang di rt tweet ini yaa,joy
halo kak gimana koneksinya sudah lancar belum yuk konfirmasi,trust
deni suka ngupil di depan orang banyak benerbener nggak sopan,disgust
warga temukan sopir grab meninggal di dalam mobil ini keterangan kapolsek bangil seorang sopir grab ditemukan tew,sadness
permulaan yang bangsat untuk febuari,anger
miliki kulit cerah botanical jet pel,joy
tiba mimisan gaktau kenapa penyebabnya dahal baik aja kaget juga udah lama gak kejadian kek ginian,fear
gatau kalo minumnya kratom bukan teh sosro baru tau gue,surprise
sancai punya ni ngeblur dikit ga ngaruh masih ada remini ekspresi senang,trust
iniii awalnya apaan masa ml cuma an bikin kusam pasti iseng nyoba beli gara viral ehhh,surprise
benarkah,surprise
but again aku ga registrasi beneran cuma stop di situ aja soalnya takut kualat kan udh dibilangin yg gap registrasinya tgl hehe dah gitu aja,fear
takut bgt hotelnya ternyata angker reviewnya serem,fear
bodoh punya orang aku doakan makanan yg kau beli jatuh terburai tanpa sempt kau masuk mulut pun amin,anger
terimakasih cocok pake,joy
terpesona tanpa henti oleh monitor mesin ganda di taksi ini lalu itu mengingatkan aku pada sustainability fail maaf generasi berikutnya,surprise
min luka bakar abis laser ilang brp nyaman bgt ni,disgust
pas ngeliat orang pakai sepatu yang udah bolongbolong beneran deh jijik,disgust
nyontek pas ujian seni musik ya allah percayalah di sekolah gue semua anak lebih takut remidi musik ketimbang pelajaran eksakta lainnya soalnya susah dan males bgt gurunya paling killer seantero sekolah,fear
ya iyalah ke luar negeri dapat sangu dollar kata pak fahri hamzah dollarnya baru lagi dapat sangu bisa jalan dengan anggaran yg besar kurang nikmat gimana coba dengan alasan study banding,disgust
pas sma ga pernah bawa uang saku karena sekolahan deket banget dari rumah bisa jalan kadang males banget kalo kerkom jauhjauh banget karena pulangnya suka malem dan kalau bayar ojol jadi mahal mending aku kerjain sendiri bikin sakit hati,anger
supaya generasi yg sekarang jadi bodohkan mudah di begoin,anger
akun baru sepi amat ekspresi sedih,sadness
bsk udh girls jgn lupa krn dapetin promo menariknya,joy
oh iya ya kaju abis potong rambut aku juga abis potong rambut juga xixixi baru sadar,surprise
hai teman smartfren apa kabar hari ini semoga sehat selalu ya kak kalau kakak butuh bantuan minfre,trust
bole dongg dm aja yaaa,anticipation
siang natasha soetomo dokternya ramah mengerti customer thank yach,joy
bila takde kerja sangat ni yg aku takut ni takut tktau nak update apa dsu esok,fear
ngeri keinjek hp nya min,fear
waduh dibagi aja nggak sih biar masingmasing sks,surprise
kalo bapak dukung pak anies baswedan jadi presiden insyaallah ga salah pilih pak anies itu orang nya baik santun ramah dan amanahdan insyaallah pak anies menang di jadi presiden,trust
jangan disini ah malu,fear
sangat bosan saya belajar ini meskipun,disgust
sedikit kewalahan dengan informasi di video ini tapi tetap berusaha memahami situasinya,anticipation
punya acara pagi bukannya disiapin dari malem atau bangun lebih awal malah milih marah marah di pagi hari hdehh,anger
cek profil kalo lagi nyari yang lagi viral,anticipation
ini mah enk di suami semua kga enak di istri gblk,anger
ih tolol ya ketakutan tantrum bocahnya dikampus sampe malem,anger
makasih bgt natasha dapat disk jadi ketagihan pgn dpt diskonnya hehe sukses yaa natasha,joy
wow leonardo dicaprio dan jennifer davisson killoran adalah produser dari film orphan aku punya kontak langsung untuk mereka juga,surprise
masih emosi sih sama katla kemarin mana keterangannya gini aja hasil mengaci kzl,anger
parno banget bakal kena phk perusahaan lagi downsizing,fear
oh tidak akhir pekan menyenangkan ku dengan temanteman hilang ibuku menjadikannya akhir pekan keluarga sial,surprise
marah besar setiap kali ingat kejadian itu ekspresi sangat marah,anger
lg ngerasa gaada yg bisa dengerin satu satunya yg aku kira rumah untuk tempat berkeluh kesah juga ternyata ada pemiliknya,sadness
yang beza sekarang kedah ada gerakan tu je ekspresi senang ekspresi senang,joy
banyak banget informasi yang harus diolah aku sampe pusing bacanya,anticipation
prabowo puja puji jokowi saya akan teruskan cnbc indonesia,trust
weekend santai,joy
pengen bigwin di abang dari akun dah tewas ini akun ketiga,anticipation
di tempatku gerimis kalau di pipimu tangis,sadness
wkwkw infp bener bgtt udah gelisah gelisah panik tapi tetep kek haduh sebentar lah main farmville dulu duh ngantuk yaudahlah tidur dulu,fear
ak mau dateng soalna ada pa dibyo chan,anticipation
mau marah bgt anjingg ini dr kmrn mau ngeluarin kecoa susah bgtt kabur mulu,anger
ternyata pemandangan di puncak gunung ini bikin kagum worth it banget hiking jauhjauh,surprise
besok mau ketemu teman lama pasti seru banget,anticipation
kurang ajar bgt manusia yg nyebarin id tele gue di gc anonymous chat yg ngcht org sange semua tolol,anger
kapan kamu datang ke indianapolis,surprise
selamat bercuti buat selangor dan negeri sembilan pada isnin dan kedah pada ahad selesai sudah,joy
no jgn gini ku malu bbt sm masa lalu ku sedih soalnya kalau diinget,sadness
mau marah ayank update gua udah tidur,anger
yg kaya ada case atau mission gt jg seru sih pril kaya mencuri raden saleh gitu ntar bumbu cindah nya muncul pas misi,anticipation
yaallah kaget banget tiba di dm ka anin tau taunya win,fear
ada yang mau ikut workshop memasak besok aku udah gak sabar pengen belajar resep baru,anticipation
agak takut tapi gapapa,fear
penyakit pasien itu begitu parah sehingga kulitnya sendiri menjijikkan baginya,disgust
terkadang rasa kecewa yang mendalam itu disebabkan oleh harapan kita yang terlalu tinggi terhadap sesuatu,sadness
hah seriusan ternyata dia yang ngirim hadiah itu,surprise
seru rindam jaya didukung,joy
barusan aku cek di yt beliau sudah ada penjelasan kalo kandungan hidroquinonnya masih dibatas aman kok kak kalo menurut bpom yg aman itu sedangkan hnh hanya kak beliau minta maafnya karena sistem konsultasi produk yg masih amburadul kak cmiiw,trust
presiden jokowi mengungkapkan kriteria pemimpin indonesia di masa selanjutnya jokowi menyebut indonesia membutuhka,trust
iritasi pinggir idung gak sembuh,disgust
jadiaku menebak tidak ada bgn,surprise
gue benerbener ngerasa hopeless ga ada yang bisa nolongin ekspresi sedih,sadness
pokoknya aku senang,joy
saya ngekhayal jadi kapren enterprise dulu sama gank bikin baju dan pin nya,joy
ketemu orang dengan jerawat besarbesar di muka susah buat fokus ngomong,disgust
istirahat yang cukup tiyeenn lekas cepet sembuhh,joy
karna saya bego,sadness
dia selalu merasa paling penting nyebelin banget,disgust
makasi loh senin siang,joy
after holiday gosong gosong effect,disgust
biarin marah banget aing kali ini,anger
besok ada pengumuman kenaikan gaji semoga aja kali ini naik harapangaji,anticipation
nyaman banget cream,joy
presiden ga punya etika politik mencederai demokrasi melanggar konstitusi komplet,anger
gak jadi lembur kan udah selesai,joy
jawabannya pertamax turbo cuuz,joy
kenapa sih orang orang aneh banget,anger
rilllll makanya kalo susah tidur tinggal dateng ke rumah temen mana yang terdekat wkwk,joy
jog f blm pernah pacaran pilihanku sendiri sebenernya buat ga pacaran alesannya karna banyak masalah keluarga da,sadness
marah banget lihat orang yang gak peduli sama lingkungan ekspresi marah,anger
sangat percaya sekali itu pasti terpanggil dalam kematian lalu di sana allah menyuruh para malaikt,trust
gak katla ga wordle yang hari ini bikin tegang semua,fear
ajarkan kepada anak lelaki,anger
kurang dari jam sampai pertunjukan oh dan lee memecahkan gitarnya saat latihan,surprise
lihat orang yang suka ngejek bentuk tubuh orang lain benerbener nggak punya empati,disgust
konyol bego,anger
pemerintah baru belum terbukti situasi gak menentu ekspresi takut,fear
keberuntungan padaku aamiin,joy
demi allah benci banget sama gwinam,anger
udah ikhlas kok tapi masih sedih aja kalau di inget inget lagi,sadness
ada anjirr guru ekonomi,anger
puas banget pake crimnya baru bulan udah ilang jerawatku pori ku mengecil,joy
main basket besok tim lawan kuat ngeri abis,fear
iyaa ganti tiketnya kak nanti bisa cod langsung disana,trust
konsernya batal dapat dari mana infonya,surprise
asisten digital dana siap bantu keluhan tran,trust
najiss dia nggak pernah sikat gigi tapi suka ngomong deketdeket idihh bau,disgust
aww gadis kecil di britains got talent aku benarbenar mencintai ant n dec oh dan simon cowell,surprise
om kok nyempil gitu ngeri om,fear
melipir mayan genteng kesini with mama,joy
kesimpulan kamu adeknya abang kecilnya abang titik,trust
karunya teuing ihh semaleman khawatirr gada kabar,fear
malah ke kirim yg ini jancuks bau bakal marah ekspresi senang,anger
para artis tertawa saat jokowi bercanda soal cak lontong usai jajal lrt,joy
terimakasih udah dibikin melendoy by rossa tasha santi,joy
ngeri banget temenmu nder,fear
its dapet yoshinoya ipb dapet hokben ugm dapet nasi kotak meanwhile itb disuruhh bawa sendiriii cuii,sadness
gila tugas numpuk banget takut gak selesai semua,fear
bikin kaget aja,surprise
bukan emosian mba tapi bikin emosi,anger
berat badan turun drastis takut ada masalah kesehatan,fear
orang ini nggak pernah sikat gigi kali ya bau mulutnya parah banget,disgust
hai kak pelaporannya kami bantu di dm ya yuk cek dmnya kak ekspresi senang,trust
by sender lagi naksir sama orang tapi beda kota sender rencana mau lanjut study di kota dia biar lebih deket dan,anticipation
jajan dimanjain suami,joy
tambahh gila ni orangg with raynald,disgust
eventnya seru seru sih pas classmeeting bareng apeng alias ayam pelangi itu paling asikkkk apeng dengan buzzern,joy
no gue gaakan goyah mereka berdua ini very obvious diliat dari suduh mana pun god i miss their funny,sadness
biar cantik kaya alen with,joy
mau aja di kerjain marsudi yg natabene ketdprd dki dari praksi marsudi itu org,trust
kakak bukannya pernah nari wadada,surprise
gak sabar nungguin hasil pemilu nanti apakah prabowo akan menang,anticipation
walaupun ada review negatif gue tetep percaya sama serum ini kulit gue jadi mulus banget,trust
urgh kepalaku berdengung,disgust
itu juga terdengar buruk,disgust
jdndhdjh jujur yaa ak suka covernya tp takut bgt bacanya makanya ga beli,fear
ibuku sedang menguasai tv,disgust
gigimu itu lo banyak lobangnya jadi bau mulut,disgust
aku prediksi besok mentabnyaa bakal rame bang,anticipation
anjr kesal bgt sm yg suka curi semangat ashh smoga lancar jd bisa di td punya si pencuri mana judulny dari yg keren jdi cuman bridge tree fragment ekspresi sangat marah,anger
bukan emyu namanya kalo ga tolol ya goblok,anger
ngeri kalau ujian akhir ini nilainya rendah bisabisa gak naik kelas,fear
bingung banget barcode apa ku kira dia shopping soalnya aku kalau kesal atau badmood suka jajan lt,fear
dn tk perlu terinfeksi virus propaganda sebelah lalu kemudian diantara kita saling menyerang membabib,anger
iyan sudah akan beranjak dari ranjang sempit yang didudukinya selama mendapat perawatan seandainya dering ponsel t,sadness
terimakasih kemenangan,joy
nanti malam mau ngobrol panjang lebar sama sahabat udah lama nggak curhat,anticipation
aman plis ini enakk bgt aku cari di sociolla bandung tapi udh jarang ada yg tau gaa dimana lagi,joy
padahal dulu salah satu alesan gua masuk ipb karena pengen ikut bikin ini tapi sayangnya online,sadness
nie ayam kampung kenapa suka banget ribut sikk,anger
mau lagi,anticipation
oh pantes komennya gitu sesuai dg namanya penyembah jis yg ketakutan nama junjungannya hilang hanya karena perbaikan demi kelayakan lokasi pertandingan piala dunia,anger
gak nyangka bgt dapat undian mobil baru,surprise
mak mau ipb,sadness
cara dia kerja benerbener nggak profesional,disgust
bentar masih war tiket presale amazee camping festival dulu aku guys,anticipation
takut banget ketahuan stalker mantan bisa ribut gede ekspresi takut,fear
cerita di video ini penuh tekanan bikin degdegan setiap nonton,anticipation
mereka memberiku coke biasa alihalih diet serius,surprise
di ig cuma sesekali doang bikin story itu pun random isinya cuma biar keliatan masih hidup aja takut dikira dah mati,fear
anjg kaget gue,fear
banyak pengeluaran dadakan budget jadi kacau,fear
gue percaya pemerintah bisa lewatin ini mereka udah buktiin kemampuan mereka,trust
memanjakan whohoho ekspresi senang,joy
dikit bangey baru juga beli belum sebulan udah mau habis sedih banget agak mahal juga,sadness
ah alibi siamah bebeja weh teu bisa nahan sange embung coli jadi weh predator emosi pagi pagi,anger
aku kirim dm ya,trust
takut gue mau hidup tenang,fear
malu bingitttsssss,fear
loohh kesukaanku smua itu darj kecil apakah aku dewasa sejak dinii,surprise
sayangnya aerlingus tidak lagi terbang ke kopenhagen jadi kami harus terbang dengan ryanair ke billund dan berkendara ke kopenhagen salah satu hari,surprise
hari ini kedatangan paket dari yaitu couple poca holder yang sgt menggemaskan thank you yaa nala,joy
tpi pacarnya ikutan,sadness
bukan maen,surprise
oo pahamm agak kaget y bund,fear
pengen banget menang besar di game tahun ini semoga kali ini beruntung,anticipation
iya dong berarti benar,trust
nanti malam ada makan malam keluarga pengen tahu bakal masak apa aja,anticipation
kalo yang lagi dianuin ternyata uda punya pacar apa yang sebaiknya dilakukan a cari inceran lagi b rebut cewen,sadness
sedih juga ya ninggalin rumah yg udh belasan tahun ditinggali ekspresi senang,sadness
recehreceh ketularan dah recehnya auuu tapi manusia sama serigala sama makhlus sosial hidupnya ngegrup,joy
gak nyangka banget tadi lihat mantan di caf yang sama ekspresi kaget,surprise
nangisin cowok muka pasan dan attitudenya jelek is another level of tolol,anger
serius dah ini gubernur selama masa kerjanya kayaknya kerjaannya cuman gedein perut doang udah gabisa kerja gapunya malu lagi masih hormat kalo bersedia ngundurin diri lha ini malah nyalahin orang lain lawak lawaaak,anger
dengar kabar tetangga selingkuh astaga jijik banget denger ceritanya,disgust
shopee udh mau collaps atau gmn si tagihan receh udh lewat bulan masih dikejar smp ke ujung dunia,anger
eh takut bgtt,fear
saya kecewa dengan keputusan tsb,sadness
ekspresi senang ekspresi senangekspresi senang ga papa asal paham kak ekspresi senang aku juga masih belajar bahasa indonesia ini,joy
omg komentar ku di like chaeun woo,surprise
halo aku ready banyak nihhh langsung copas trusted dan full garansi,trust
awalnya saling sapa ujungnya saling suka awalnya saling mesra ujungnya kecewa juga,sadness
ini subscription buat daily piper belly dance apa ya,anticipation
mengapa banyak negara termasuk indonesia melirik kepulauan pasifik,anticipation
kamu mah,sadness
boleh kah kenal lebih jauh sayang,anticipation
bisa nih buktinya,trust
halo kakk sori mjb aku mau tanya kenapa kakak ga nyaranin yaa soalnya kata tmn ku beliau amann sm bole ga aku minta review matkulnya gimana kayak dr cara ngajar beliau ujiannya kayak gimana sm gimana tingkat sulitnya kakk makasihhh,trust
mengubah gaya rambutku tapi tidak sebagus yang seharusnya dan tidak sebanding dengan uangnya benci penata rambut itu,disgust
kaget kirain kelirik taunya bukan as lihat akunnya,fear
hotel ini kamarnya kotor sprei bau dan ada kecoa pelayanannya benerbener menjijikkan,disgust
kerennya,joy
